,Stock name,Symbol,Country of origin
185,Apartment Investment & Management Company,AIV,US
186,Apartment Investment & Management Company,AIV.PRA,US
187,"Apollo Commercial Real Estate Finance, Inc.",ARI,US
188,"Apollo Commercial Real Estate Finance, Inc.",ARI.PRA,US
189,"Apollo Commercial Real Estate Finance, Inc.",ARI.PRC,US
190,"Apollo Global Management, LLC",APO,US
191,Apollo Investment Corporation,AIB,US
192,Apollo Investment Corporation,AIY,US
193,Apollo Senior Floating Rate Fund Inc.,AFT,US
194,Apollo Tactical Income Fund Inc.,AIF,US
195,Apple Hospitality REIT Inc.,APLE,US
196,"Applied Industrial Technologies, Inc.",AIT,US
197,AptarGroup Inc.,ATR,US
198,"Aqua America, Inc.",WTR,US
199,AquaVenture Holdings Ltd.,WAAS,British Virgin Islands
200,Aramark,ARMK,US
201,"Arbor Realty Trust, Inc.",ABR,US
202,"Arbor Realty Trust, Inc.",ABRN,US
203,"Arbor Realty Trust, Inc.",ABR.PRA,US
204,"Arbor Realty Trust, Inc.",ABR.PRB,US
205,"Arbor Realty Trust, Inc.",ABR.PRC,US
206,"ARC Document Solutions, Inc.",ARC,US
207,Arc Logistics Partners LP,ARCX,US
208,ArcelorMittal,MT,Luxembourg
209,Arch Capital Group Ltd.,ARH.PRC,Bermuda
210,Arch Coal Inc,ARCH,US
211,Archer Daniels Midland Co.,ADM,US
212,Archrock Inc.,AROC,US
213,Arconic Inc.,ARNC,US
214,Arconic Inc.,ARNC.PR,US
215,Arconic Inc.,ARNC.PRB,US
216,Arcos Dorados Holdings Inc.,ARCO,Uruguay
217,Ardmore Shipping Corporation,ASC,US
218,Ares Capital,ARU,US
219,Ares Commercial Real Estate Corporation,ACRE,US
220,"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,US
221,"Ares Management, L.P.",ARES,US
222,"Ares Management, L.P.",ARES.PRA,US
223,"Ares Multi-Strategy Credit Fund, Inc.",ARMF,US
224,"Argan, Inc.",AGX,US
225,Arista Networks,ANET,US
226,Arlington Asset Investment Corporation,AI,US
227,Arlington Asset Investment Corp.,AIW,US
228,"Armada Hoffler Properties, Inc.",AHH,US
229,"Armour Residential REIT, Inc.",ARR,US
230,"Armour Residential REIT, Inc.",ARR.PRA,US
231,"Armour Residential REIT, Inc.",ARR.PRB,US
232,Armstrong Flooring Inc.,AFI,US
233,"Armstrong World Industries, Inc.",AWI,US
234,Arrow Electronics Inc,ARW,US
235,Arthur J.Gallagher & Co.,AJG,US
236,Artisan Partners Asset Management Inc.,APAM,US
237,ASA Gold and Precious Metals Limited,ASA,Bermuda
238,"Asbury Automotive Group, Inc.",ABG,US
239,"Ashford Hospitality Prime, Inc.",AHP,US
240,"Ashford Hospitality Trust, Inc.",AHT,US
241,"Ashford Hospitality Trust, Inc.",AHT.PRA,US
242,"Ashford Hospitality Trust, Inc.",AHT.PRB,US
243,"Ashford Hospitality Trust, Inc.",AHT.PRD,US
244,"Ashford Hospitality Trust, Inc.",AHT.PRF,US
245,"Ashford Hospitality Trust, Inc.",AHT.PRG,US
246,Ashland Inc.,ASH,US
247,"The Asia Pacific Fund, Inc.",APB,US
248,"The Asia Tigers Fund, Inc.",GRR,US
249,"Aspen Aerogels, Inc.",ASPN,US
250,Aspen Insurance Holdings Limited,AHL,Bermuda
251,Aspen Insurance Holdings Limited,AHL.PRB,Bermuda
252,Aspen Insurance Holdings Limited,AHL.PRC,Bermuda
253,Aspen Insurance Holdings Limited,AHL.PRD,Bermuda
254,Associated Banc-Corp,ASB,US
255,Associated Banc-Corp,ASB.PRC,US
256,Associated Banc-Corp,ASB.PRD,US
257,Associated Capital Group Inc.,AC,US
258,"Assurant, Inc.",AIZ,US
259,Assured Guaranty Ltd.,AGO,Bermuda
260,Assured Guaranty Municipal Holdings Inc.,AGO.PRB,Bermuda
261,Assured Guaranty Municipal Holdings Inc.,AGO.PRE,Bermuda
262,Assured Guaranty Municipal Holdings Inc.,AGO.PRF,Bermuda
263,Astoria Financial Corporation,AF,US
264,Astoria Financial Corporation,AF.PRC,US
265,AstraZeneca Group plc,AZN,United Kingdom
266,AT&T Inc.,T,US
267,At Home Group Inc.,HOME,US
268,Atento SA,ATTO,Luxembourg
269,Athene Holding Ltd.,ATH,Bermuda
270,Atkore International Group Inc.,ATKR,US
271,Atlantic Power Corporation,AT,Canada
272,Atmos Energy Corporation,ATO,US
273,AU Optronics Corp.,AUO,Taiwan
274,"Audacy, Inc.",AUD,US
275,Autohome Inc.,ATHM,China
276,Autoliv Inc.,ALV,US
277,Autonation Inc,AN,US
278,"AutoZone, Inc",AZO,US
279,"AvalonBay Communities, Inc.",AVB,US
280,Avangrid Inc.,AGR,US
281,Avenue Income Credit Strategies Fund,ACP,US
282,Avery Dennison Corporation,AVY,US
283,Avianca Holdings S.A.,AVH,Panama
284,Avista Corporation,AVA,US
285,Avnet Inc,AVT,US
286,"Avon Products, Inc.",AVP,United Kingdom
287,Avx Corporation,AVX,US
288,Axalta Coating Systems Ltd.,AXTA,US
289,Axis Capital Holdings Limited,AXS,Bermuda
290,Axis Capital Holdings Limited,AXS.PRC,Bermuda
291,Axis Capital Holdings Limited,AXS.PRD,Bermuda
292,Axis Capital Holdings Limited,AXS.PRE,Bermuda
293,Axovant Sciences Ltd.,AXON,Bermuda
294,Azure Power Global Ltd.,AZRE,India
295,AZZ incorporated,AZZ,US
0,B&G Foods,BGS,US
1,Babcock & Wilcox,BWC,US
2,Babson Capital Corporate Investors,MCI,US
3,Badger Meter,BMI,US
4,Baker Hughes,BKR,US
5,Ball Corporation,BLL,US
6,Bally Technologies,BYI,US
7,Baltic Trading,BALT,US
8,Banc of California,BANC,US
9,Banco Bilbao Vizcaya Argentaria,BBVA,Spain
10,Banco Bradesco,BBD,Brazil
11,Banco de Chile,BCH,Chile
12,Banco Latinoamericano De Comercio Exterior,BLX,Panama
13,Banco Macro,BMA,Argentina
14,Banco Santander,SAN,Spain
15,Banco Santander (Brasil),BSBR,Brazil
16,Banco Santander-Chile,BSAC,Chile
17,Bancolombia,CIB,Colombia
18,BancorpSouth,BXS,US
19,Bank of America,BAC,US
20,Bank of Hawaii,BOH,US
21,The Bank of New York Mellon,BK,US
22,Scotiabank,BNS,Canada
23,Bankrate,RATE,US
24,BankUnited,BKU,US
25,Barclays,BCS,United Kingdom
26,Barnes Group,B,US
27,Barracuda Networks,CUDA,US
28,Barrick Gold,ABX,Canada
29,Basic Energy Services,BAS,US
30,Baxter International,BAX,US
31,Baytex Energy,BTE,Canada
32,BBVA Banco Francés,BFR,Argentina
33,BankAtlantic,BBX,US
34,Bell Canada,BCE,Canada
35,Beazer Homes USA,BZH,US
36,Becton Dickinson,BDX,US
37,Belden,BDC,US
38,Belmond,BEL,Bermuda
39,Bemis Company,BMS,US
40,Benchmark Electronics,BHE,US
41,Berkshire Hathaway,BRK.A & BRK.B,US
42,Berkshire Hills Bancorp,BHLB,US
43,Berry Plastics,BERY,US
44,Best Buy,BBY,US
45,BGC Partners,BGCA,US
46,BHP,BBL & BHP,United Kingdom
47,Big Lots,BIG,US
48,Biglari Holdings,BH,US
49,Bill Barrett Corporation,BBG,US
50,Bio-Rad Laboratories,BIO,US
51,BioAmber,BIOA,Canada
52,BioMed Realty Trust,BMR,US
53,BitAuto Holdings,BITA,China
54,Black Hills Corporation,BKH,US
55,BlackRock,BLK,US
56,The Blackstone Group,BX,US
57,Blackstone Mortgage Trust,BXMT,US
58,Blount International,BLT,US
59,Blue Capital Reinsurance Holdings,BCRH,US
60,BlueLinx,BXC,US
61,Blyth,BTH,US
62,BMO Financial Group,BMO,Canada
63,Boeing,BA,US
64,Boise Cascade,BCC,US
65,Bonanza Creek Energy,BCEI,US
66,Booz Allen Hamilton,BAH,US
67,BorgWarner,BWA,US
68,Boston Beer Co,SAM,US
69,Boston Properties,BXP,US
70,Boston Scientific,BSX,US
71,Box Ships,TEU,Greece
72,Boyd Gaming,BYD,US
73,BP,BP,United Kingdom
74,BP Prudhoe Bay Royalty Trust,BPT,US
75,BPZ Resources,BPZ,US
76,Brady Corporation,BRC,US
77,Brandywine Realty Trust,BDN,US
78,BrasilAgro – Companhia Brasileira de Propriedades Agrícolas,LND,Brazil
79,Braskem,BAK,Brazil
80,BRF S.A.,BRFS,Brazil
81,Briggs & Stratton,BGG,US
82,Bright Horizons Family Solutions,BFAM,US
83,Brinker International,EAT,US
84,Brink's,BCO,US
85,Bristol-Myers Squibb,BMY,US
86,Bristow Helicopters,BRS,US
87,Brixmor Property Group,BRX,US
88,Broadridge Financial Solutions,BR,US
89,Brookdale Senior Living,BKD,US
90,Brookfield Asset Management,BAM,Canada
91,Brookfield Canada Office Properties,BOXC,Canada
92,Brookfield Infrastructure Partners,BIP,Canada
93,Brookfield Property Partners,BPY,Canada
94,Brookfield Renewable,BEP,Canada
95,Brookfield Residential,BRP,Canada
96,Brown & Brown,BRO,US
97,Brown-Forman,BF.A & BF.B,US
98,Brown Shoe,BWS,US
99,BRT Realty Trust,BRT,US
100,Brunswick Corporation,BC,US
101,BT Group,BT,United Kingdom
102,Buckeye Partners,BPL,US
103,The Buckle,BKE,US
104,Build-A-Bear Workshop,BBW,US
105,Bunge,BG,US
106,Burlington Coat Factory,BURL,US
0,C. R. Bard,BCR,US
1,Cabco Tr For J C Penney Debs,PFH,US
2,Cabela's,CAB,US
3,Cabot Corporation,CBT,US
4,Coterra,CTRA,US
5,CACI,CACI,US
6,CAE Inc.,CAE,Canada
7,"CAI International, Inc.",CAP,US
8,"Cal Dive International, Inc.",DVR,US
9,Calgon Carbon,CCC,US
10,California Water Service Group,CWT,US
11,Calix Inc.,CALX,US
12,Callaway Golf Company,ELY,US
13,Callon Petroleum Company,CPE,US
14,Calpine,CPN,US
15,Cambrex Corporation,CBM,US
16,Camden Property Trust,CPT,US
17,Cameco,CCJ,Canada
18,Cameron International,CAM,US
19,Campbell Soup Company,CPB,US
20,"Campus Crest Communities, Inc.",CCG,US
21,Canada Goose Holdings Inc.,GOOS,Canada
22,Canadian Imperial Bank of Commerce,CM,Canada
23,Canadian National Railway,CNI,Canada
24,Canadian Natural Resources,CNQ,Canada
25,Canadian Pacific Railway,CP,Canada
26,Canon Inc.,CAJ,Japan
27,Canopy Growth Corporation,CGC,Canada
28,Cantel Medical Corporation,CMN,US
29,Capital One,COF,US
30,Capital Senior Living,CSU,US
31,Capitala Finance Corp,CLA,US
32,Capstead Mortgage Corporation,CMO,US
33,CARBO Ceramics Inc.,CRR,US
34,Cardinal Health,CAH,US
35,Care.com,CRCM,US
36,CareFusion,CFN,US
37,Carlisle Companies,CSL,US
38,CarMax,KMX,US
39,Carnival Corporation & plc,CCL,US
40,Carnival Corporation & plc,CUK,United Kingdom
41,Carpenter Technology Corporation,CRS,US
42,Carriage Services,CSV,US
43,"Carter's, Inc.",CRI,US
44,Cash America International,CSH,US
45,Castlight Health,CSLT,US
46,"CatchMark Timber Trust, Inc.",CTT,US
47,Caterpillar Inc.,CAT,US
48,Cato Corporation,CATO,US
49,"CBIZ, Inc.",CBZ,US
50,CBL & Associates Properties,CBL,US
51,CBRE Group,CBG,US
52,CDI Corporation,CDI,US
53,Cedar Fair,FUN,US
54,Cedar Realty Trust,CDR,US
55,Celadon Group,CGI,US
56,Celanese,CE,US
57,Celestica,CLS,Canada
58,"Cellcom Israel, Ltd.",CEL,Israel
59,Cementos Pacasmayo,CPAC,Peru
60,Cemex,CX,Mexico
61,Cencosud,CNCO,Chile
62,Cenovus Energy,CVE,US
63,Centene Corporation,CNC,US
64,CenterPoint Energy,CNP,US
65,Eletrobras,EBR,Brazil
66,Central Pacific Bank,CPF,US
67,"Century Communities, Inc.",CCS,US
68,CenturyLink,CTL,US
69,Cenveo,CVO,US
70,CF Industries,CF,US
71,CGG,CGG,France
72,CGI Group,GIB,Canada
73,Chambers Street Properties,CSG,US
74,ChannelAdvisor Corporation,ECOM,US
75,Charles River Laboratories,CRL,US
76,Charles Schwab Corporation,SCHW,US
77,Chatham Lodging Trust,CLDT,US
78,CHC Helicopter,HELI,US
79,Checkpoint Systems,CKP,US
80,Cheetah Mobile,CMCM,China
81,Chegg,CHGG,US
82,Chemed Corporation,CHE,US
83,Chemtura,CHMT,US
84,Cherry Hill Mortgage Investment Corporation,CHMI,US
85,Chesapeake Energy,CHK,US
86,Chesapeake Granite Wash Trust,CHKR,US
87,Chesapeake Lodging Trust,CHSP,US
88,Chesapeake Utilities,CPK,US
89,Chevron Corporation,CVX,US
90,Chicago Bridge & Iron Company,CBI,US
91,"Chico's FAS, Inc.",CHS,US
92,Chimera Investment Corporation,CIM,US
93,China Cord Blood Corporation,CO,China
94,"China Digital TV Holding Co., LTD.",STV,China
95,China Distance Education Holdings Limited,DL,China
96,China Eastern Airlines,CEA,China
97,China Green Agriculture,CGA,China
98,China Life Insurance Company,LFC,China
99,Mingyang Wind Power,MY,China
100,China Mobile,CHL,China
101,China Nepstar,NPD,China
102,China New Borun Corporation,BORN,China
103,Sinopec,SNP,China
104,China Southern Airlines,ZNH,China
105,China Telecom,CHA,China
106,China Unicom,CHU,China
107,China Xiniya Fashion Limited,XNY,China
108,China Yuchai International,CYD,Singapore
109,China Zenix Auto International Limited,ZX,China
110,Chipotle Mexican Grill,CMG,US
111,Chiquita Brands International,CQB,US
112,Choice Hotels,CHH,US
113,Christopher & Banks,CBK,US
114,Chubb Corp.,CB,US
115,Chunghwa Telecom,CHT,Taiwan
116,Church & Dwight,CHD,US
117,Ciena,CIEN,US
118,Cigna,CI,US
119,Cincinnati Bell,CBB,US
120,Cinemark Theatres,CNK,US
121,"Circor International, Inc.",CIR,US
122,Citigroup,C,US
123,"Citizens, Inc.",CIA,US
124,City National Corporation,CYN,US
125,"City Office REIT, Inc.",CIO,Canada
126,Civeo Corporation,CVEO,US
127,Clarcor,CLC,US
128,"Clayton Williams Energy, Inc.",CWEI,US
129,Clean Harbors,CLH,US
130,Clear Channel Outdoor,CCO,US
131,Clearwater Paper,CLW,US
132,CLECO,CNL,US
133,Cleveland-Cliffs,CLF,US
134,Clorox,CLX,US
135,Cloud Peak Energy,CLD,US
136,ClubCorp,MYCC,US
137,CMS Energy,CMS,US
138,CNA Financial,CNA,US
139,CNH Industrial,CNHI,United Kingdom
140,CNO Financial Group,CNO,US
141,CNOOC Limited,CEO,China
142,"Coach, Inc.",COH,US
143,Cobalt International Energy,CIE,US
144,The Coca-Cola Company,KO,US
145,Coca-Cola Enterprises,CCE,US
146,"Coca-Cola FEMSA, S.A.B. De C.V.",KOF,Mexico
147,Coeur Mining,CDE,US
148,"Coeur Mining, Inc.",CDE.WS,US
149,"Cohen & Steers, Inc.",CNS,US
150,Colfax Corporation,CFX,US
151,Colgate-Palmolive,CL,US
152,"Colony Financial, Inc.",CLNY,US
153,"Columbia Property Trust, Inc.",CXP,US
154,Comcast,CCV,US
155,Comcast Holdings Corporation,CCZ,US
156,Comerica,CMA,US
157,Comfort Systems USA,FIX,US
158,Commercial Metals Company,CMC,US
159,CommonWealth REIT,CWH,US
160,"Community Bank, N.A.",CBU,US
161,Community Health Systems,CYH,US
162,Companhia Brasileira de Distribuição,CBD,Brazil
163,Sabesp,SBS,Brazil
164,CEMIG,CIG,Brazil
165,Copel,ELP,Brazil
166,Companhia Siderúrgica Nacional,SID,Brazil
167,Compass Diversified Holdings,CODI,US
168,Compass Minerals,CMP,US
169,Compañia de Minas Buenaventura SA,BVN,Peru
170,Compañía de las Cervecerías Unidas,CCU,Chile
171,Computer Sciences Corporation,CSC,US
172,Comstock Resources Inc.,CRK,US
173,Con-way Inc.,CNW,US
174,ConAgra Foods,CAG,US
175,Concho Resources Inc.,CXO,US
176,Concord Medical Services Holdings Limited,CCM,China
177,ConocoPhillips,COP,US
178,CONSOL Energy Inc.,CNX,US
179,Consolidated Edison,ED,US
180,Constellation Brands,STZ,US
181,Constellium N.V.,CSTM,US
182,The Container Store,TCS,US
183,Continental Building Products Inc.,CBPX,US
184,Continental Resources,CLR,US
185,Volaris,VLRS,US
186,Convergys,CVG,US
187,The Cooper Companies,COO,US
188,Cooper-Standard Automotive,CPS,US
189,Cooper Tire & Rubber Company,CTB,US
190,Copa Holdings,CPA,Panama
191,Core Laboratories,CLB,Netherlands
192,CoreLogic,CLGX,US
193,"CorEnergy Infrastructure Trust, Inc.",CORR,US
194,Corning Inc.,GLW,US
195,Corpbanca,BCA,Chile
196,Corporate Asset Backed Corporation,GYB,US
197,Corporate Asset Backed Corporation,GYC,US
198,The Corporate Executive Board Company,CEB,US
